"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2013/14","22.11.2013 13:45","Toulon","Usap Perpignan","","15","9","","9","3","","None","20.0"
"Top 14","2013/14","02.11.2013 14:30","Stade Francais","Bayonne","","13","9","","10","9","","0.0909090909091","7.0"
"Top 14","2013/14","02.11.2013 12:30","Biarritz","Racing 92","","9","6","","3","6","","1.375","0.571428571429"
"Top 14","2013/14","02.11.2013 12:30","Montpellier Herault RC","Grenoble FC","","25","18","","16","12","","0.0909090909091","7.0"
"Top 14","2013/14","02.11.2013 12:30","Union Sportive Oyonnax","Usap Perpignan","","22","9","","9","9","","0.5","1.625"
"Top 14","2013/14","02.11.2013 09:05","Brive","Stade Toulousain","","25","13","","16","0","","0.8","1.0"
"Top 14","2013/14","01.11.2013 15:00","Castres Olympique","Clermont","","22","22","","10","6","","0.4","2.0"
"Top 14","2013/14","01.11.2013 13:00","Toulon","Bordeaux Begles","","37","17","","12","12","","0.0","12.0"
"Top 14","2013/14","26.10.2013 13:35","Racing 92","Stade Francais","","16","12","","10","6","","0.545454545455","1.5"
"Top 14","2013/14","26.10.2013 11:30","Castres Olympique","Biarritz","","39","0","","27","0","","0.0909090909091","8.0"
"Top 14","2013/14","26.10.2013 11:30","Clermont","Brive","","36","29","","20","20","","0.0","16.0"
"Top 14","2013/14","26.10.2013 11:30","Grenoble FC","Union Sportive Oyonnax","","23","10","","16","3","","0.111111111111","5.5"
"Top 14","2013/14","26.10.2013 11:30","Usap Perpignan","Bordeaux Begles","","31","20","","12","12","","0.111111111111","5.5"
"Top 14","2013/14","26.10.2013 07:55","Stade Toulousain","Toulon","","13","12","","0","12","","0.222222222222","3.33333333333"
"Top 14","2013/14","25.10.2013 13:45","Bayonne","Montpellier Herault RC","","24","19","","18","18","","0.571428571429","1.375"
"Top 14","2013/14","05.10.2013 13:40","Stade Toulousain","Stade Francais","","28","10","","14","3","","0.125","5.0"
"Top 14","2013/14","05.10.2013 11:30","Bordeaux Begles","Bayonne","","34","6","","17","6","","0.25","3.0"
"Top 14","2013/14","05.10.2013 11:30","Brive","Castres Olympique","","34","0","","24","0","","0.6","1.3"
"Top 14","2013/14","05.10.2013 11:30","Montpellier Herault RC","Union Sportive Oyonnax","","45","20","","24","13","","0.0","16.0"
"Top 14","2013/14","05.10.2013 11:30","Racing 92","Grenoble FC","","20","22","","9","9","","0.0909090909091","8.0"
"Top 14","2013/14","05.10.2013 07:55","Toulon","Clermont","","25","19","","16","13","","0.166666666667","4.0"
"Top 14","2013/14","04.10.2013 13:45","Biarritz","Usap Perpignan","","12","16","","6","6","","0.5","1.625"
"Top 14","2013/14","29.09.2013 05:30","Clermont","Bordeaux Begles","","40","11","","16","11","","None","20.0"
"Top 14","2013/14","28.09.2013 13:35","Usap Perpignan","Stade Toulousain","","20","16","","14","6","","0.363636363636","2.2"
"Top 14","2013/14","28.09.2013 11:30","Bayonne","Biarritz","","27","19","","19","9","","0.2","3.5"
"Top 14","2013/14","28.09.2013 11:30","Castres Olympique","Racing 92","","19","15","","13","9","","0.2","3.5"
"Top 14","2013/14","28.09.2013 11:30","Grenoble FC","Brive","","12","12","","12","6","","0.0909090909091","7.0"
"Top 14","2013/14","28.09.2013 07:55","Union Sportive Oyonnax","Toulon","","25","22","","16","19","","2.75","0.285714285714"
"Top 14","2013/14","27.09.2013 13:45","Stade Francais","Montpellier Herault RC","","18","11","","10","3","","0.3","2.5"
"Top 14","2013/14","21.09.2013 13:35","Union Sportive Oyonnax","Stade Francais","","15","16","","9","9","","0.545454545455","1.5"
"Top 14","2013/14","21.09.2013 11:30","Biarritz","Grenoble FC","","21","27","","9","17","","0.222222222222","3.33333333333"
"Top 14","2013/14","21.09.2013 11:30","Brive","Usap Perpignan","","31","6","","16","6","","0.571428571429","1.375"
"Top 14","2013/14","21.09.2013 11:30","Racing 92","Bordeaux Begles","","26","19","","18","10","","0.0","10.0"
"Top 14","2013/14","21.09.2013 11:30","Toulon","Bayonne","","18","12","","8","6","","None","25.0"
"Top 14","2013/14","21.09.2013 08:00","Stade Toulousain","Castres Olympique","","26","9","","11","6","","0.111111111111","5.5"
"Top 14","2013/14","20.09.2013 13:45","Montpellier Herault RC","Clermont","","43","3","","26","3","","0.545454545455","1.5"
"Top 14","2013/14","14.09.2013 13:35","Bayonne","Racing 92","","16","19","","6","6","","0.571428571429","1.375"
"Top 14","2013/14","14.09.2013 11:30","Bordeaux Begles","Union Sportive Oyonnax","","35","10","","21","7","","0.125","5.0"
"Top 14","2013/14","14.09.2013 11:30","Clermont","Grenoble FC","","27","13","","13","6","","None","20.0"
"Top 14","2013/14","14.09.2013 11:30","Stade Francais","Brive","","25","18","","12","8","","0.0","10.0"
"Top 14","2013/14","14.09.2013 11:30","Stade Toulousain","Biarritz","","31","7","","26","0","","None","25.0"
"Top 14","2013/14","14.09.2013 07:55","Castres Olympique","Toulon","","22","15","","13","9","","0.6","1.3"
"Top 14","2013/14","13.09.2013 11:45","Usap Perpignan","Montpellier Herault RC","","28","16","","20","6","","0.4","2.0"
"Top 14","2013/14","08.09.2013 14:00","Stade Francais","Clermont","","23","16","","3","6","","0.5","1.625"
"Top 14","2013/14","08.09.2013 11:00","Biarritz","Toulon","","13","24","","3","6","","2.75","0.285714285714"
